V1_Q_n	V2_Q
0	1.200072
0.01	1.200072
0.02	1.200076
0.030000000000000002	1.200076
0.04	1.200076
0.05	1.200076
0.060000000000000005	1.20008
0.07	1.2000739999999999
0.08	1.200076
0.090000000000000011	1.2000739999999999
0.1	1.20007
0.11	1.200076
0.12000000000000001	1.200076
0.13	1.200072
0.14	1.20007
0.15	1.2000739999999999
0.16	1.200072
0.17	1.200072
0.18000000000000002	1.20007
0.19	1.20007
0.2	1.200068
0.21000000000000002	1.200064
0.22	1.200062
0.23	1.200056
0.24000000000000002	1.200048
0.25	1.200038
0.26	1.2000279999999999
0.27	1.2000039999999999
0.28	1.199986
0.29000000000000004	1.199952
0.3	1.1999119999999999
0.31	1.19986
0.32	1.199782
0.33	1.1996879999999999
0.34	1.1995559999999998
0.35000000000000003	1.19939
0.36000000000000004	1.19916
0.37	1.198882
0.38	1.1985059999999999
0.39	1.198026
0.4	1.1974
0.41000000000000003	1.196598
0.42000000000000004	1.1955959999999999
0.43	1.194424
0.44	1.192814
0.45	1.19093
0.46	1.188696
0.47000000000000003	1.1857499999999999
0.48000000000000004	1.182064
0.49000000000000005	1.1773959999999999
0.5	1.171476
0.51	1.1636819999999999
0.52	1.15333
0.53	1.137838
0.54	1.113622
0.55	1.0681939999999999
0.56	0.86473
0.57000000000000006	0.557618
0.58000000000000007	0.37690999999999997
0.59000000000000008	0.234454
0.6	0.145252
0.61	0.098744
0.62	0.072798
0.63	0.055987999999999996
0.64	0.043927999999999995
0.65	0.03501
0.66	0.0281
0.67	0.022668
0.68	0.018364
0.69000000000000006	0.014926
0.70000000000000007	0.012093999999999999
0.71000000000000008	0.00976
0.72000000000000008	0.0078599999999999989
0.73	0.0062819999999999994
0.74	0.005012
0.75	0.0039819999999999994
0.76	0.0031479999999999998
0.77	0.00246
0.78	0.001914
0.79	0.001472
0.8	0.001126
0.81	0.000848
0.82000000000000006	0.000632
0.83000000000000007	0.000464
0.84000000000000008	0.000336
0.85000000000000009	0.00023799999999999999
0.86	0.000164
0.87	0.00010999999999999999
0.88	7E-05
0.89	3.9999999999999996E-05
0.9	1.8E-05
0.91	2E-06
0.92	-8E-06
0.93	-1.4E-05
0.94000000000000006	-1.9999999999999998E-05
0.95000000000000007	-2.2E-05
0.96000000000000008	-1.9999999999999998E-05
0.97000000000000008	-2.4E-05
0.98000000000000009	-2.2E-05
0.9900000000000001	-1.9999999999999998E-05
1	-1.9999999999999998E-05
1.01	-1.8E-05
1.02	-1.6E-05
1.03	-1.6E-05
1.04	-1.6E-05
1.05	-1.4E-05
1.06	-1.2E-05
1.07	-9.9999999999999991E-06
1.08	-6E-06
1.09	-2E-06
1.1	2E-06
1.11	2E-06
1.12	2E-06
1.1300000000000001	4E-06
1.1400000000000001	2E-06
1.1500000000000001	4E-06
1.1600000000000001	4E-06
1.1700000000000002	8E-06
1.1800000000000002	9.9999999999999991E-06
1.19	9.9999999999999991E-06
1.2	9.9999999999999991E-06
