V1_Q_n	V2_Q
0	1.2000579999999999
0.012	1.200064
0.024	1.200062
0.036000000000000004	1.200068
0.048	1.200064
0.060000000000000005	1.200062
0.072000000000000008	1.200064
0.084	1.200062
0.096	1.20006
0.108	1.200064
0.12000000000000001	1.200062
0.132	1.2000659999999999
0.14400000000000002	1.200062
0.156	1.200062
0.168	1.20006
0.18000000000000002	1.2000579999999999
0.192	1.200054
0.20400000000000002	1.200054
0.216	1.2000439999999999
0.228	1.200046
0.24000000000000002	1.20004
0.252	1.200026
0.264	1.20001
0.276	1.199994
0.28800000000000003	1.19997
0.3	1.199922
0.312	1.199864
0.324	1.199782
0.336	1.199666
0.34800000000000003	1.199514
0.36000000000000004	1.1992939999999999
0.372	1.1989999999999998
0.384	1.19859
0.396	1.198032
0.40800000000000003	1.19729
0.42000000000000004	1.196276
0.432	1.194952
0.444	1.19318
0.456	1.1908379999999998
0.468	1.187692
0.48000000000000004	1.183632
0.49200000000000005	1.178108
0.504	1.17068
0.516	1.160254
0.528	1.145354
0.54	1.121694
0.552	1.0781319999999999
0.56400000000000006	0.899822
0.57600000000000007	0.698952
0.58800000000000008	0.63313599999999992
0.6	0.60003
0.612	0.575982
0.624	0.55681399999999992
0.636	0.540314
0.648	0.525736
0.66	0.51232
0.672	0.499926
0.684	0.48845
0.69600000000000006	0.47758799999999996
0.70800000000000007	0.46709999999999996
0.72000000000000008	0.456978
0.732	0.447384
0.744	0.43784999999999996
0.756	0.428708
0.768	0.419782
0.78	0.412106
0.792	0.403812
0.804	0.39494199999999996
0.81600000000000006	0.38683
0.82800000000000007	0.379148
0.84000000000000008	0.37112599999999996
0.85200000000000009	0.363688
0.864	0.35555
0.876	0.347896
0.888	0.34082999999999997
0.9	0.333596
0.912	0.32745199999999997
0.924	0.320206
0.936	0.31435399999999997
0.94800000000000006	0.30774799999999997
0.96000000000000008	0.30179
0.97200000000000009	0.296392
0.9840000000000001	0.291186
0.996	0.28532399999999997
1.008	0.28018
1.02	0.275474
1.032	0.271138
1.044	0.26589799999999997
1.056	0.26191
1.068	0.258264
1.08	0.25368199999999996
1.092	0.24992599999999998
1.104	0.246076
1.116	0.24309399999999998
1.1280000000000001	0.240116
1.1400000000000001	0.236318
1.1520000000000001	0.233564
1.1640000000000002	0.230104
1.1760000000000002	0.22783199999999998
1.1880000000000002	0.224718
1.2	0.22261799999999998
