V4_BL	V3_BL_n
1.2	-0.000104
1.1800000000000002	-0.000104
1.1600000000000001	-9.8E-05
1.1400000000000001	-0.000104
1.12	-0.000102
1.1	-9.4E-05
1.08	-9.9999999999999991E-05
1.06	-0.000102
1.04	-9.8E-05
1.02	-9.8E-05
1	-9.8E-05
0.98000000000000009	-0.000102
0.96000000000000008	-0.000108
0.94000000000000006	-0.000106
0.92	-0.000104
0.9	-0.000104
0.88	-0.000106
0.86	-0.000106
0.84000000000000008	-0.000106
0.82000000000000006	-0.000108
0.8	-0.000108
0.78	-0.000102
0.76	-0.000102
0.74	-9.8E-05
0.72000000000000008	-0.000102
0.70000000000000007	-0.000108
0.68	-0.000102
0.66	-0.000104
0.64	-0.000104
0.62	-0.00011399999999999999
0.6	-0.000108
0.58000000000000007	-0.000112
0.56	-0.000118
0.54	-0.00011999999999999999
0.52	-0.000124
0.5	-0.000122
0.48000000000000004	-0.00013
0.46	-0.000134
0.44	-0.000144
0.42000000000000004	-0.00015199999999999998
0.4	-0.000158
0.38	-0.00017199999999999998
0.36000000000000004	-0.000186
0.34	-0.000194
0.32	-0.000178
0.3	-7.4E-05
0.28	0.000368
0.26	0.002208
0.24000000000000002	0.012183999999999999
0.22	0.891046
0.2	0.89147999999999994
0.18000000000000002	0.89128999999999992
0.16	0.891022
0.14	0.890764
0.12000000000000001	0.890326
0.1	0.890138
0.08	0.889558
0.060000000000000005	0.889216
0.04	0.888882
0.02	0.88814799999999994
0	0.88777
