V3_BL_n	V4_BL
1.2	-2E-06
1.1800000000000002	2E-06
1.1600000000000001	0
1.1400000000000001	-2E-06
1.12	2E-06
1.1	2E-06
1.08	2E-06
1.06	0
1.04	2E-06
1.02	2E-06
1	0
0.98000000000000009	0
0.96000000000000008	-2E-06
0.94000000000000006	0
0.92	0
0.9	0
0.88	-4E-06
0.86	2E-06
0.84000000000000008	0
0.82000000000000006	-2E-06
0.8	2E-06
0.78	0
0.76	-2E-06
0.74	-2E-06
0.72000000000000008	-2E-06
0.70000000000000007	-2E-06
0.68	-2E-06
0.66	0
0.64	0
0.62	-2E-06
0.6	-2E-06
0.58000000000000007	0
0.56	-2E-06
0.54	-4E-06
0.52	-2E-06
0.5	-2E-06
0.48000000000000004	-4E-06
0.46	-4E-06
0.44	-4E-06
0.42000000000000004	-6E-06
0.4	-8E-06
0.38	-8E-06
0.36000000000000004	-4E-06
0.34	8E-06
0.32	5.2E-05
0.3	0.000266
0.28	0.001366
0.26	0.0080439999999999991
0.24000000000000002	0.99020599999999992
0.22	0.90347199999999994
0.2	0.9034
0.18000000000000002	0.903388
0.16	0.903408
0.14	0.90328
0.12000000000000001	0.90328599999999992
0.1	0.90323599999999993
0.08	0.903208
0.060000000000000005	0.903148
0.04	0.903096
0.02	0.903052
0	0.903032
