V4_BL	V3_BL_n
1.2	1.4E-05
1.1800000000000002	2.9999999999999997E-05
1.1600000000000001	5.6E-05
1.1400000000000001	8.8E-05
1.12	1.8E-05
1.1	3.4E-05
1.08	9.9999999999999991E-06
1.06	2.2E-05
1.04	1.9999999999999998E-05
1.02	9.9999999999999991E-06
1	3.2E-05
0.98000000000000009	4E-06
0.96000000000000008	1.4E-05
0.94000000000000006	1.2E-05
0.92	6E-06
0.9	2.9999999999999997E-05
0.88	6E-06
0.86	1.4E-05
0.84000000000000008	1.2E-05
0.82000000000000006	4E-06
0.8	-6E-06
0.78	9.9999999999999991E-06
0.76	4.6E-05
0.74	4.6E-05
0.72000000000000008	5.6E-05
0.70000000000000007	3.6E-05
0.68	2.6E-05
0.66	2.6E-05
0.64	1.9999999999999998E-05
0.62	0
0.6	1.9999999999999998E-05
0.58000000000000007	6E-06
0.56	9.9999999999999991E-06
0.54	9.9999999999999991E-06
0.52	0
0.5	2.4E-05
0.48000000000000004	8E-06
0.46	8E-06
0.44	8E-06
0.42000000000000004	-2E-06
0.4	4.4E-05
0.38	6E-06
0.36000000000000004	1.2E-05
0.34	2.6E-05
0.32	6.8E-05
0.3	0.000496
0.28	0.0032819999999999998
0.26	1.009966
0.24000000000000002	0.938306
0.22	0.938294
0.2	0.93885599999999991
0.18000000000000002	0.93875
0.16	0.938726
0.14	0.93870599999999993
0.12000000000000001	0.93855199999999994
0.1	0.938804
0.08	0.93860999999999994
0.060000000000000005	0.93864799999999993
0.04	0.93931
0.02	0.93848999999999994
0	0.938728
