V3_BL_n	V4_BL
1.2	5.8E-05
1.1800000000000002	6.2E-05
1.1600000000000001	5.9999999999999995E-05
1.1400000000000001	5.8E-05
1.12	5.9999999999999995E-05
1.1	5.8E-05
1.08	5.4E-05
1.06	5.4E-05
1.04	5.4E-05
1.02	5.2E-05
1	5.2E-05
0.98000000000000009	5.2E-05
0.96000000000000008	4.9999999999999996E-05
0.94000000000000006	4.8E-05
0.92	4.8E-05
0.9	4.6E-05
0.88	4.4E-05
0.86	4.2E-05
0.84000000000000008	4.4E-05
0.82000000000000006	4.2E-05
0.8	3.9999999999999996E-05
0.78	3.7999999999999995E-05
0.76	4.4E-05
0.74	5.2E-05
0.72000000000000008	7.2E-05
0.70000000000000007	8.2E-05
0.68	0.00015
0.66	0.00023999999999999998
0.64	0.00044199999999999996
0.62	0.000812
0.6	0.001586
0.58000000000000007	0.00311
0.56	0.00614
0.54	0.014469999999999999
0.52	1.124114
0.5	0.98642199999999991
0.48000000000000004	0.9866379999999999
0.46	0.98667799999999994
0.44	0.986672
0.42000000000000004	0.986676
0.4	0.9866919999999999
0.38	0.986628
0.36000000000000004	0.986664
0.34	0.98657
0.32	0.986568
0.3	0.986564
0.28	0.98649199999999992
0.26	0.98647999999999991
0.24000000000000002	0.98641799999999991
0.22	0.98638799999999993
0.2	0.986328
0.18000000000000002	0.986292
0.16	0.986258
0.14	0.986204
0.12000000000000001	0.98613
0.1	0.98610599999999993
0.08	0.98595199999999994
0.060000000000000005	0.985906
0.04	0.985838
0.02	0.9858
0	0.98571
