V3_BL_n	V4_BL
1.2	4.4E-05
1.1800000000000002	4.6E-05
1.1600000000000001	4.2E-05
1.1400000000000001	4.4E-05
1.12	4.4E-05
1.1	4.4E-05
1.08	4.2E-05
1.06	4.6E-05
1.04	4.6E-05
1.02	4.6E-05
1	4.6E-05
0.98000000000000009	4.2E-05
0.96000000000000008	4.4E-05
0.94000000000000006	4.2E-05
0.92	4.2E-05
0.9	4.2E-05
0.88	4.2E-05
0.86	4.2E-05
0.84000000000000008	4.2E-05
0.82000000000000006	4.4E-05
0.8	4.4E-05
0.78	4.4E-05
0.76	4.2E-05
0.74	4.2E-05
0.72000000000000008	4.2E-05
0.70000000000000007	4.2E-05
0.68	4.4E-05
0.66	4.4E-05
0.64	4.4E-05
0.62	4.2E-05
0.6	4.2E-05
0.58000000000000007	4.2E-05
0.56	3.7999999999999995E-05
0.54	3.7999999999999995E-05
0.52	4.4E-05
0.5	3.7999999999999995E-05
0.48000000000000004	3.7999999999999995E-05
0.46	3.6E-05
0.44	3.6E-05
0.42000000000000004	3.2E-05
0.4	2.9999999999999997E-05
0.38	2.9999999999999997E-05
0.36000000000000004	2.6E-05
0.34	2.6E-05
0.32	3.6E-05
0.3	7.2E-05
0.28	0.000184
0.26	0.000596
0.24000000000000002	0.002064
0.22	0.008166
0.2	0.94625399999999993
0.18000000000000002	0.935928
0.16	0.935778
0.14	0.93548199999999992
0.12000000000000001	0.935488
0.1	0.935298
0.08	0.935012
0.060000000000000005	0.93488799999999994
0.04	0.934732
0.02	0.93448599999999993
0	0.934176
