V4_BL	V3_BL_n
1.2	-4E-06
1.1800000000000002	-6E-06
1.1600000000000001	-4E-06
1.1400000000000001	0
1.12	0
1.1	-8E-06
1.08	-2E-06
1.06	-2E-06
1.04	-8E-06
1.02	-6E-06
1	0
0.98000000000000009	-8E-06
0.96000000000000008	-6E-06
0.94000000000000006	-2E-06
0.92	-4E-06
0.9	-8E-06
0.88	-2E-06
0.86	0
0.84000000000000008	-6E-06
0.82000000000000006	-4E-06
0.8	-4E-06
0.78	-8E-06
0.76	-8E-06
0.74	-2E-06
0.72000000000000008	-8E-06
0.70000000000000007	-6E-06
0.68	-2E-06
0.66	-6E-06
0.64	-1.2E-05
0.62	-8E-06
0.6	-2E-06
0.58000000000000007	-8E-06
0.56	-1.4E-05
0.54	-1.2E-05
0.52	-8E-06
0.5	-1.4E-05
0.48000000000000004	-1.6E-05
0.46	-1.9999999999999998E-05
0.44	-2.6E-05
0.42000000000000004	-2.8E-05
0.4	-2.6E-05
0.38	-3.7999999999999995E-05
0.36000000000000004	-4.2E-05
0.34	-4.2E-05
0.32	-3.6E-05
0.3	2E-06
0.28	0.000232
0.26	0.001286
0.24000000000000002	0.006364
0.22	1.032726
0.2	0.92550999999999994
0.18000000000000002	0.925194
0.16	0.924856
0.14	0.924534
0.12000000000000001	0.92417799999999994
0.1	0.92386799999999991
0.08	0.923466
0.060000000000000005	0.92308799999999991
0.04	0.922824
0.02	0.922388
0	0.921944
