V3_BL_n	V4_BL
1.2	5.2E-05
1.1800000000000002	4.9999999999999996E-05
1.1600000000000001	5.2E-05
1.1400000000000001	5.2E-05
1.12	5.2E-05
1.1	5.2E-05
1.08	5.2E-05
1.06	4.9999999999999996E-05
1.04	4.9999999999999996E-05
1.02	5.4E-05
1	5.4E-05
0.98000000000000009	4.9999999999999996E-05
0.96000000000000008	5.2E-05
0.94000000000000006	5.2E-05
0.92	4.9999999999999996E-05
0.9	5.2E-05
0.88	5.2E-05
0.86	5.2E-05
0.84000000000000008	5.4E-05
0.82000000000000006	5.2E-05
0.8	5.6E-05
0.78	5.2E-05
0.76	5.4E-05
0.74	5.2E-05
0.72000000000000008	5.2E-05
0.70000000000000007	5.4E-05
0.68	5.2E-05
0.66	5.4E-05
0.64	5.2E-05
0.62	5.2E-05
0.6	5.2E-05
0.58000000000000007	4.8E-05
0.56	5.2E-05
0.54	5.2E-05
0.52	4.8E-05
0.5	5.2E-05
0.48000000000000004	5.2E-05
0.46	4.4E-05
0.44	4.4E-05
0.42000000000000004	4.2E-05
0.4	4.4E-05
0.38	4.2E-05
0.36000000000000004	4.2E-05
0.34	3.9999999999999996E-05
0.32	4.8E-05
0.3	7.2E-05
0.28	0.000174
0.26	0.000566
0.24000000000000002	0.002198
0.22	0.010079999999999999
0.2	0.963424
0.18000000000000002	0.949372
0.16	0.949236
0.14	0.94903799999999994
0.12000000000000001	0.948892
0.1	0.948716
0.08	0.94880999999999993
0.060000000000000005	0.948664
0.04	0.948468
0.02	0.94824199999999992
0	0.948054
