V2_Q	V1_Q_n
0	1.20001
0.01	1.20001
0.02	1.20001
0.030000000000000002	1.200008
0.04	1.200014
0.05	1.20001
0.060000000000000005	1.20001
0.07	1.20001
0.08	1.200008
0.090000000000000011	1.20001
0.1	1.20001
0.11	1.200006
0.12000000000000001	1.20001
0.13	1.200002
0.14	1.2000039999999999
0.15	1.200006
0.16	1.199998
0.17	1.199998
0.18000000000000002	1.199994
0.19	1.19999
0.2	1.199984
0.21000000000000002	1.199976
0.22	1.199964
0.23	1.199952
0.24000000000000002	1.199936
0.25	1.1999039999999999
0.26	1.199876
0.27	1.199828
0.28	1.199778
0.29000000000000004	1.1997
0.3	1.199594
0.31	1.199466
0.32	1.1992859999999999
0.33	1.19906
0.34	1.198764
0.35000000000000003	1.198392
0.36000000000000004	1.197882
0.37	1.197228
0.38	1.196404
0.39	1.195366
0.4	1.1939359999999999
0.41000000000000003	1.192204
0.42000000000000004	1.1900739999999999
0.43	1.187344
0.44	1.183702
0.45	1.179492
0.46	1.173902
0.47000000000000003	1.1661979999999999
0.48000000000000004	1.1568479999999999
0.49000000000000005	1.1443699999999999
0.5	1.126202
0.51	1.0980459999999999
0.52	1.0477459999999998
0.53	0.79464799999999991
0.54	0.65235199999999993
0.55	0.455982
0.56	0.272148
0.57000000000000006	0.156782
0.58000000000000007	0.105616
0.59000000000000008	0.077774
0.6	0.05975
0.61	0.047048
0.62	0.037714
0.63	0.030761999999999998
0.64	0.025154
0.65	0.020645999999999998
0.66	0.01696
0.67	0.013869999999999999
0.68	0.011337999999999999
0.69000000000000006	0.009264
0.70000000000000007	0.007522
0.71000000000000008	0.006102
0.72000000000000008	0.004932
0.73	0.003966
0.74	0.00316
0.75	0.0025039999999999997
0.76	0.0019679999999999997
0.77	0.00153
0.78	0.001188
0.79	0.000914
0.8	0.00069
0.81	0.000516
0.82000000000000006	0.00039
0.83000000000000007	0.000286
0.84000000000000008	0.000206
0.85000000000000009	0.00015199999999999998
0.86	0.000104
0.87	7.2E-05
0.88	4.4E-05
0.89	2.4E-05
0.9	1.2E-05
0.91	2E-06
0.92	-2E-06
0.93	-8E-06
0.94000000000000006	-1.2E-05
0.95000000000000007	-1.2E-05
0.96000000000000008	-1.8E-05
0.97000000000000008	-1.6E-05
0.98000000000000009	-1.6E-05
0.9900000000000001	-1.6E-05
1	-1.6E-05
1.01	-1.6E-05
1.02	-1.4E-05
1.03	-1.8E-05
1.04	-1.4E-05
1.05	-1.4E-05
1.06	-1.4E-05
1.07	-1.6E-05
1.08	-1.6E-05
1.09	-1.2E-05
1.1	-1.2E-05
1.11	-1.6E-05
1.12	-1.2E-05
1.1300000000000001	-9.9999999999999991E-06
1.1400000000000001	-1.2E-05
1.1500000000000001	-1.2E-05
1.1600000000000001	-9.9999999999999991E-06
1.1700000000000002	-9.9999999999999991E-06
1.1800000000000002	-1.2E-05
1.19	-1.2E-05
1.2	-8E-06
