V3_BL_n	V4_BL
1.2	-0.000106
1.1800000000000002	-0.000104
1.1600000000000001	-0.000108
1.1400000000000001	-0.000104
1.12	-0.000104
1.1	-0.000104
1.08	-0.000112
1.06	-9.9999999999999991E-05
1.04	-0.000112
1.02	-9.4E-05
1	-0.000116
0.98000000000000009	-0.00010999999999999999
0.96000000000000008	-0.000108
0.94000000000000006	-0.00010999999999999999
0.92	-0.000108
0.9	-0.00010999999999999999
0.88	-0.000116
0.86	-0.000112
0.84000000000000008	-0.00010999999999999999
0.82000000000000006	-0.000104
0.8	-0.000112
0.78	-0.000104
0.76	-0.00010999999999999999
0.74	-0.00010999999999999999
0.72000000000000008	-0.00011399999999999999
0.70000000000000007	-0.000108
0.68	-0.000112
0.66	-0.000112
0.64	-0.00010999999999999999
0.62	-0.000112
0.6	-0.00011399999999999999
0.58000000000000007	-0.000106
0.56	-0.00011399999999999999
0.54	-0.000112
0.52	-0.000116
0.5	-0.00011999999999999999
0.48000000000000004	-0.00011999999999999999
0.46	-0.000128
0.44	-0.00013
0.42000000000000004	-0.000138
0.4	-0.00015199999999999998
0.38	-0.000158
0.36000000000000004	-0.000168
0.34	-0.000186
0.32	-0.000202
0.3	-0.000224
0.28	-0.000236
0.26	-0.000226
0.24000000000000002	-0.000126
0.22	0.00047599999999999997
0.2	0.003714
0.18000000000000002	1.003852
0.16	0.969564
0.14	0.96922999999999992
0.12000000000000001	0.968938
0.1	0.968494
0.08	0.968186
0.060000000000000005	0.967954
0.04	0.96749199999999991
0.02	0.967154
0	0.96639
