V4_BL	V3_BL_n
1.2	-8E-06
1.1800000000000002	-2E-06
1.1600000000000001	-4E-06
1.1400000000000001	0
1.12	-4E-06
1.1	-4E-06
1.08	-2E-06
1.06	-4E-06
1.04	-2E-06
1.02	-2E-06
1	0
0.98000000000000009	-4E-06
0.96000000000000008	-2E-06
0.94000000000000006	-6E-06
0.92	-6E-06
0.9	-4E-06
0.88	-6E-06
0.86	-4E-06
0.84000000000000008	-2E-06
0.82000000000000006	-6E-06
0.8	-4E-06
0.78	-2E-06
0.76	-4E-06
0.74	0
0.72000000000000008	-2E-06
0.70000000000000007	-2E-06
0.68	-2E-06
0.66	-4E-06
0.64	-4E-06
0.62	-6E-06
0.6	-2E-06
0.58000000000000007	-8E-06
0.56	-6E-06
0.54	-6E-06
0.52	-9.9999999999999991E-06
0.5	-9.9999999999999991E-06
0.48000000000000004	-1.4E-05
0.46	-1.4E-05
0.44	-1.4E-05
0.42000000000000004	-1.8E-05
0.4	-1.9999999999999998E-05
0.38	-1.6E-05
0.36000000000000004	1.8E-05
0.34	0.000192
0.32	0.0015719999999999998
0.3	0.00761
0.28	1.066352
0.26	0.93204
0.24000000000000002	0.93201
0.22	0.93196799999999991
0.2	0.932028
0.18000000000000002	0.93207
0.16	0.93185599999999991
0.14	0.93186399999999991
0.12000000000000001	0.931708
0.1	0.931596
0.08	0.93154799999999993
0.060000000000000005	0.931368
0.04	0.931338
0.02	0.931168
0	0.931062
