V3_BL_n	V4_BL
1.2	-1.4E-05
1.1800000000000002	-9.9999999999999991E-06
1.1600000000000001	-8E-06
1.1400000000000001	-9.9999999999999991E-06
1.12	-1.4E-05
1.1	-9.9999999999999991E-06
1.08	-1.2E-05
1.06	-1.2E-05
1.04	-9.9999999999999991E-06
1.02	-1.2E-05
1	-8E-06
0.98000000000000009	-1.2E-05
0.96000000000000008	-1.2E-05
0.94000000000000006	-9.9999999999999991E-06
0.92	-1.2E-05
0.9	-9.9999999999999991E-06
0.88	-8E-06
0.86	-9.9999999999999991E-06
0.84000000000000008	-2E-06
0.82000000000000006	-9.9999999999999991E-06
0.8	-9.9999999999999991E-06
0.78	-8E-06
0.76	-1.2E-05
0.74	-6E-06
0.72000000000000008	-9.9999999999999991E-06
0.70000000000000007	-1.4E-05
0.68	-1.2E-05
0.66	-1.4E-05
0.64	-9.9999999999999991E-06
0.62	-9.9999999999999991E-06
0.6	-9.9999999999999991E-06
0.58000000000000007	-1.2E-05
0.56	-1.2E-05
0.54	-1.4E-05
0.52	-1.2E-05
0.5	-1.6E-05
0.48000000000000004	-1.6E-05
0.46	-1.8E-05
0.44	-1.6E-05
0.42000000000000004	-1.8E-05
0.4	-1.6E-05
0.38	-1.8E-05
0.36000000000000004	-1.6E-05
0.34	-1.4E-05
0.32	-2E-06
0.3	3.6E-05
0.28	0.000212
0.26	0.00097399999999999993
0.24000000000000002	0.004922
0.22	0.927182
0.2	0.927404
0.18000000000000002	0.927384
0.16	0.92741
0.14	0.9273579999999999
0.12000000000000001	0.92738199999999993
0.1	0.927318
0.08	0.927292
0.060000000000000005	0.9273579999999999
0.04	0.92726
0.02	0.927268
0	0.927376
