V4_BL	V3_BL_n
1.2	-9.9999999999999991E-06
1.1800000000000002	-8E-06
1.1600000000000001	-8E-06
1.1400000000000001	-8E-06
1.12	-6E-06
1.1	-8E-06
1.08	-6E-06
1.06	-9.9999999999999991E-06
1.04	-9.9999999999999991E-06
1.02	-6E-06
1	-6E-06
0.98000000000000009	-6E-06
0.96000000000000008	-6E-06
0.94000000000000006	-6E-06
0.92	-4E-06
0.9	-6E-06
0.88	-4E-06
0.86	-8E-06
0.84000000000000008	-4E-06
0.82000000000000006	-6E-06
0.8	-4E-06
0.78	-6E-06
0.76	-8E-06
0.74	-6E-06
0.72000000000000008	-8E-06
0.70000000000000007	-6E-06
0.68	-6E-06
0.66	-6E-06
0.64	-6E-06
0.62	0
0.6	-4E-06
0.58000000000000007	-6E-06
0.56	-4E-06
0.54	-2E-06
0.52	-4E-06
0.5	-4E-06
0.48000000000000004	-2E-06
0.46	-4E-06
0.44	-4E-06
0.42000000000000004	-2E-06
0.4	9.9999999999999991E-06
0.38	7.9999999999999993E-05
0.36000000000000004	0.000722
0.34	0.008028
0.32	1.075448
0.3	0.96338799999999991
0.28	0.96345799999999993
0.26	0.96351199999999992
0.24000000000000002	0.9634919999999999
0.22	0.96346999999999994
0.2	0.963366
0.18000000000000002	0.96339599999999992
0.16	0.963436
0.14	0.963452
0.12000000000000001	0.963394
0.1	0.963424
0.08	0.96380599999999994
0.060000000000000005	0.96399399999999991
0.04	0.96398
0.02	0.963854
0	0.9637
