V3_BL_n	V4_BL
1.2	-1.8E-05
1.1800000000000002	-1.6E-05
1.1600000000000001	-1.4E-05
1.1400000000000001	-1.6E-05
1.12	-1.6E-05
1.1	-1.6E-05
1.08	-1.6E-05
1.06	-1.8E-05
1.04	-1.8E-05
1.02	-1.6E-05
1	-1.6E-05
0.98000000000000009	-1.6E-05
0.96000000000000008	-1.8E-05
0.94000000000000006	-1.4E-05
0.92	-1.4E-05
0.9	-1.8E-05
0.88	-1.8E-05
0.86	-1.6E-05
0.84000000000000008	-1.4E-05
0.82000000000000006	-1.6E-05
0.8	-1.8E-05
0.78	-1.4E-05
0.76	-1.6E-05
0.74	-1.8E-05
0.72000000000000008	-1.6E-05
0.70000000000000007	-1.6E-05
0.68	-1.4E-05
0.66	-1.4E-05
0.64	-1.4E-05
0.62	-1.8E-05
0.6	-1.8E-05
0.58000000000000007	-1.6E-05
0.56	-1.8E-05
0.54	-1.6E-05
0.52	-1.8E-05
0.5	-1.8E-05
0.48000000000000004	-1.6E-05
0.46	-1.6E-05
0.44	-1.6E-05
0.42000000000000004	-1.8E-05
0.4	-1.8E-05
0.38	-1.8E-05
0.36000000000000004	-1.8E-05
0.34	-1.8E-05
0.32	-8E-06
0.3	2.6E-05
0.28	0.00019999999999999998
0.26	0.00117
0.24000000000000002	0.0073219999999999995
0.22	1.15254
0.2	0.90544799999999992
0.18000000000000002	0.9054319999999999
0.16	0.90531
0.14	0.905384
0.12000000000000001	0.905214
0.1	0.905242
0.08	0.90523599999999993
0.060000000000000005	0.90532399999999991
0.04	0.90527799999999992
0.02	0.90535599999999994
0	0.90523199999999993
