V3_BL_n	V4_BL
1.2	0.005402
1.1800000000000002	0.005254
1.1600000000000001	0.00568
1.1400000000000001	0.0057079999999999995
1.12	0.005692
1.1	0.0055499999999999994
1.08	0.0055499999999999994
1.06	0.005588
1.04	0.005542
1.02	0.005552
1	0.0056739999999999994
0.98000000000000009	0.0056
0.96000000000000008	0.005594
0.94000000000000006	0.005582
0.92	0.00564
0.9	0.005634
0.88	0.005638
0.86	0.00562
0.84000000000000008	0.005594
0.82000000000000006	0.005702
0.8	0.005614
0.78	0.00558
0.76	0.005604
0.74	0.005516
0.72000000000000008	0.005568
0.70000000000000007	0.005646
0.68	0.0057079999999999995
0.66	0.005644
0.64	0.005614
0.62	0.0057259999999999993
0.6	0.0057539999999999996
0.58000000000000007	0.005774
0.56	0.005804
0.54	0.0057599999999999995
0.52	0.0059679999999999993
0.5	0.006012
0.48000000000000004	0.0061519999999999995
0.46	0.00632
0.44	0.006558
0.42000000000000004	0.0066479999999999994
0.4	0.006748
0.38	0.0072759999999999995
0.36000000000000004	0.007638
0.34	0.008216
0.32	0.008646
0.3	0.00989
0.28	0.011692
0.26	0.01719
0.24000000000000002	1.200156
0.22	1.200162
0.2	1.20016
0.18000000000000002	1.2001579999999998
0.16	1.20016
0.14	1.2001579999999998
0.12000000000000001	1.20016
0.1	1.200164
0.08	1.200162
0.060000000000000005	1.2001579999999998
0.04	1.2001579999999998
0.02	1.20016
0	1.2001519999999999
