V4_BL	V3_BL_n
1.2	4E-06
1.1800000000000002	4E-06
1.1600000000000001	8E-06
1.1400000000000001	8E-06
1.12	6E-06
1.1	6E-06
1.08	6E-06
1.06	9.9999999999999991E-06
1.04	8E-06
1.02	8E-06
1	1.2E-05
0.98000000000000009	9.9999999999999991E-06
0.96000000000000008	-2E-06
0.94000000000000006	6E-06
0.92	6E-06
0.9	4E-06
0.88	4E-06
0.86	6E-06
0.84000000000000008	4E-06
0.82000000000000006	9.9999999999999991E-06
0.8	1.2E-05
0.78	1.6E-05
0.76	1.4E-05
0.74	9.9999999999999991E-06
0.72000000000000008	9.9999999999999991E-06
0.70000000000000007	9.9999999999999991E-06
0.68	9.9999999999999991E-06
0.66	6E-06
0.64	9.9999999999999991E-06
0.62	1.2E-05
0.6	1.2E-05
0.58000000000000007	9.9999999999999991E-06
0.56	9.9999999999999991E-06
0.54	9.9999999999999991E-06
0.52	8E-06
0.5	9.9999999999999991E-06
0.48000000000000004	9.9999999999999991E-06
0.46	9.9999999999999991E-06
0.44	8E-06
0.42000000000000004	6E-06
0.4	6E-06
0.38	9.9999999999999991E-06
0.36000000000000004	9.9999999999999991E-06
0.34	1.4E-05
0.32	1.2E-05
0.3	9.9999999999999991E-06
0.28	1.4E-05
0.26	1.8E-05
0.24000000000000002	3.4E-05
0.22	8.2E-05
0.2	0.000316
0.18000000000000002	0.00174
0.16	0.304392
0.14	0.94132399999999994
0.12000000000000001	0.94142399999999993
0.1	0.94146999999999992
0.08	0.94156
0.060000000000000005	0.941502
0.04	0.941422
0.02	0.941438
0	0.94141199999999992
