V1_Q_n	V2_Q
0	1.194574
0.012	1.194564
0.024	1.1946679999999998
0.036000000000000004	1.194472
0.048	1.19454
0.060000000000000005	1.194666
0.072000000000000008	1.1946839999999999
0.084	1.194578
0.096	1.194564
0.108	1.194332
0.12000000000000001	1.1942739999999998
0.132	1.194308
0.14400000000000002	1.194168
0.156	1.194
0.168	1.194278
0.18000000000000002	1.1935879999999999
0.192	1.193498
0.20400000000000002	1.1939199999999999
0.216	1.1933399999999999
0.228	1.192644
0.24000000000000002	1.1917259999999998
0.252	1.1904439999999998
0.264	1.1887159999999999
0.276	1.186446
0.28800000000000003	1.183358
0.3	1.178502
0.312	1.1721759999999999
0.324	1.1643059999999998
0.336	1.1537519999999999
0.34800000000000003	1.141414
0.36000000000000004	1.1239759999999999
0.372	1.099056
0.384	1.0695999999999999
0.396	1.033914
0.40800000000000003	0.98489399999999994
0.42000000000000004	0.921828
0.432	0.80584
0.444	0.724904
0.456	0.69412
0.468	0.67506
0.48000000000000004	0.65844399999999992
0.49200000000000005	0.644578
0.504	0.631316
0.516	0.61881599999999992
0.528	0.606748
0.54	0.595308
0.552	0.583978
0.56400000000000006	0.573098
0.57600000000000007	0.562232
0.58800000000000008	0.55149799999999993
0.6	0.54038599999999992
0.612	0.530748
0.624	0.520438
0.636	0.510594
0.648	0.50076199999999993
0.66	0.490778
0.672	0.481518
0.684	0.47209199999999996
0.69600000000000006	0.462148
0.70800000000000007	0.45317399999999997
0.72000000000000008	0.444194
0.732	0.435476
0.744	0.42641199999999996
0.756	0.41725399999999996
0.768	0.408698
0.78	0.399794
0.792	0.39138
0.804	0.383244
0.81600000000000006	0.375036
0.82800000000000007	0.366884
0.84000000000000008	0.35939
0.85200000000000009	0.35135
0.864	0.34363
0.876	0.33627199999999996
0.888	0.32950199999999996
0.9	0.32223799999999997
0.912	0.31573
0.924	0.30890599999999996
0.936	0.30284
0.94800000000000006	0.29639
0.96000000000000008	0.290558
0.97200000000000009	0.28470799999999996
0.9840000000000001	0.279232
0.996	0.273846
1.008	0.2689
1.02	0.26390199999999997
1.032	0.259228
1.044	0.254642
1.056	0.250422
1.068	0.246336
1.08	0.242308
1.092	0.238526
1.104	0.23484
1.116	0.23132599999999998
1.1280000000000001	0.22799999999999998
1.1400000000000001	0.22477999999999998
1.1520000000000001	0.22183999999999998
1.1640000000000002	0.218854
1.1760000000000002	0.216002
1.1880000000000002	0.21323
1.2	0.21059999999999998
