V2_Q	V1_Q_n
0	1.200018
0.01	1.200022
0.02	1.200018
0.030000000000000002	1.2000199999999999
0.04	1.2000199999999999
0.05	1.2000279999999999
0.060000000000000005	1.2000279999999999
0.07	1.200022
0.08	1.2000199999999999
0.090000000000000011	1.200026
0.1	1.200022
0.11	1.200022
0.12000000000000001	1.200022
0.13	1.2000199999999999
0.14	1.200016
0.15	1.2000199999999999
0.16	1.200024
0.17	1.200018
0.18000000000000002	1.200022
0.19	1.200016
0.2	1.200014
0.21000000000000002	1.200014
0.22	1.200006
0.23	1.2
0.24000000000000002	1.1999959999999998
0.25	1.19999
0.26	1.1999739999999999
0.27	1.199956
0.28	1.199932
0.29000000000000004	1.199898
0.3	1.199852
0.31	1.199794
0.32	1.199714
0.33	1.199604
0.34	1.199466
0.35000000000000003	1.19928
0.36000000000000004	1.1990319999999999
0.37	1.19871
0.38	1.19828
0.39	1.1977339999999999
0.4	1.19702
0.41000000000000003	1.196102
0.42000000000000004	1.1949239999999999
0.43	1.193414
0.44	1.191492
0.45	1.189046
0.46	1.185924
0.47000000000000003	1.1819899999999999
0.48000000000000004	1.176974
0.49000000000000005	1.170644
0.5	1.162352
0.51	1.15161
0.52	1.13723
0.53	1.116724
0.54	1.084246
0.55	0.98627999999999993
0.56	0.78336
0.57000000000000006	0.632158
0.58000000000000007	0.571844
0.59000000000000008	0.331516
0.6	0.190796
0.61	0.11605599999999999
0.62	0.07961399999999999
0.63	0.058858
0.64	0.045059999999999996
0.65	0.035134
0.66	0.027746
0.67	0.022038
0.68	0.017608
0.69000000000000006	0.014091999999999999
0.70000000000000007	0.011243999999999999
0.71000000000000008	0.008968
0.72000000000000008	0.007142
0.73	0.005664
0.74	0.004476
0.75	0.003518
0.76	0.002754
0.77	0.0021379999999999997
0.78	0.001648
0.79	0.001266
0.8	0.000966
0.81	0.00073
0.82000000000000006	0.000544
0.83000000000000007	0.000406
0.84000000000000008	0.0003
0.85000000000000009	0.000216
0.86	0.000158
0.87	0.000112
0.88	7.8E-05
0.89	5.8E-05
0.9	3.6E-05
0.91	2.2E-05
0.92	1.4E-05
0.93	6E-06
0.94000000000000006	0
0.95000000000000007	-6E-06
0.96000000000000008	-6E-06
0.97000000000000008	-6E-06
0.98000000000000009	-8E-06
0.9900000000000001	-9.9999999999999991E-06
1	-9.9999999999999991E-06
1.01	-9.9999999999999991E-06
1.02	-9.9999999999999991E-06
1.03	-1.2E-05
1.04	-1.2E-05
1.05	-1.2E-05
1.06	-9.9999999999999991E-06
1.07	-8E-06
1.08	-1.2E-05
1.09	-8E-06
1.1	-1.2E-05
1.11	-8E-06
1.12	-9.9999999999999991E-06
1.1300000000000001	-8E-06
1.1400000000000001	-6E-06
1.1500000000000001	-6E-06
1.1600000000000001	-6E-06
1.1700000000000002	-8E-06
1.1800000000000002	-9.9999999999999991E-06
1.19	-6E-06
1.2	-9.9999999999999991E-06
