V1_Q_n	V2_Q
0	1.200084
0.012	1.2000819999999999
0.024	1.20008
0.036000000000000004	1.200084
0.048	1.200086
0.060000000000000005	1.200086
0.072000000000000008	1.200084
0.084	1.20008
0.096	1.200084
0.108	1.200078
0.12000000000000001	1.20008
0.132	1.2000819999999999
0.14400000000000002	1.20008
0.156	1.200078
0.168	1.200076
0.18000000000000002	1.20008
0.192	1.2000819999999999
0.20400000000000002	1.2000819999999999
0.216	1.20008
0.228	1.20008
0.24000000000000002	1.20008
0.252	1.20007
0.264	1.200076
0.276	1.2000739999999999
0.28800000000000003	1.2000659999999999
0.3	1.200064
0.312	1.200056
0.324	1.200038
0.336	1.20003
0.34800000000000003	1.200014
0.36000000000000004	1.199998
0.372	1.199956
0.384	1.199922
0.396	1.199854
0.40800000000000003	1.199722
0.42000000000000004	1.199614
0.432	1.199496
0.444	1.199258
0.456	1.19898
0.468	1.198598
0.48000000000000004	1.19791
0.49200000000000005	1.196818
0.504	1.1952939999999999
0.516	1.1934479999999998
0.528	1.190672
0.54	1.186742
0.552	1.180714
0.56400000000000006	1.171652
0.57600000000000007	1.155292
0.58800000000000008	1.116488
0.6	0.58101399999999992
0.612	0.558886
0.624	0.54047
0.636	0.524672
0.648	0.509756
0.66	0.49661
0.672	0.483996
0.684	0.47225
0.69600000000000006	0.46111199999999997
0.70800000000000007	0.450316
0.72000000000000008	0.44021
0.732	0.43085599999999996
0.744	0.421956
0.756	0.412672
0.768	0.40376399999999996
0.78	0.39555799999999997
0.792	0.387212
0.804	0.379276
0.81600000000000006	0.37147399999999997
0.82800000000000007	0.36464799999999997
0.84000000000000008	0.358118
0.85200000000000009	0.350976
0.864	0.344012
0.876	0.337968
0.888	0.331518
0.9	0.32578999999999997
0.912	0.319636
0.924	0.31405
0.936	0.308536
0.94800000000000006	0.30374999999999996
0.96000000000000008	0.298678
0.97200000000000009	0.294548
0.9840000000000001	0.28954599999999997
0.996	0.28626399999999996
1.008	0.282568
1.02	0.278528
1.032	0.274424
1.044	0.270472
1.056	0.267914
1.068	0.26534199999999997
1.08	0.262
1.092	0.258866
1.104	0.257172
1.116	0.254136
1.1280000000000001	0.251998
1.1400000000000001	0.25007399999999996
1.1520000000000001	0.247418
1.1640000000000002	0.24667
1.1760000000000002	0.244606
1.1880000000000002	0.241922
1.2	0.239858
