V1_Q_n	V2_Q
0	1.200086
0.01	1.200084
0.02	1.200084
0.030000000000000002	1.200084
0.04	1.20008
0.05	1.200088
0.060000000000000005	1.200084
0.07	1.2000819999999999
0.08	1.200086
0.090000000000000011	1.200084
0.1	1.2000899999999999
0.11	1.200084
0.12000000000000001	1.200086
0.13	1.2000819999999999
0.14	1.200076
0.15	1.200076
0.16	1.20007
0.17	1.200068
0.18000000000000002	1.200062
0.19	1.2000579999999999
0.2	1.2000439999999999
0.21000000000000002	1.200026
0.22	1.200006
0.23	1.199978
0.24000000000000002	1.1999419999999998
0.25	1.1999
0.26	1.199836
0.27	1.199756
0.28	1.199636
0.29000000000000004	1.1994939999999998
0.3	1.1993019999999999
0.31	1.199044
0.32	1.1987079999999999
0.33	1.198278
0.34	1.1977119999999999
0.35000000000000003	1.197014
0.36000000000000004	1.196148
0.37	1.195018
0.38	1.1935799999999999
0.39	1.191776
0.4	1.189494
0.41000000000000003	1.18665
0.42000000000000004	1.18309
0.43	1.17874
0.44	1.173168
0.45	1.166108
0.46	1.156988
0.47000000000000003	1.145192
0.48000000000000004	1.12941
0.49000000000000005	1.107156
0.5	1.07303
0.51	0.9577739999999999
0.52	0.742714
0.53	0.61238399999999993
0.54	0.504902
0.55	0.286192
0.56	0.15739999999999998
0.57000000000000006	0.095346
0.58000000000000007	0.066762
0.59000000000000008	0.050246
0.6	0.038672
0.61	0.030119999999999997
0.62	0.023719999999999998
0.63	0.018814
0.64	0.015234
0.65	0.012121999999999999
0.66	0.009628
0.67	0.0076419999999999995
0.68	0.006046
0.69000000000000006	0.004772
0.70000000000000007	0.003748
0.71000000000000008	0.0029319999999999997
0.72000000000000008	0.002276
0.73	0.001762
0.74	0.001356
0.75	0.001044
0.76	0.000802
0.77	0.00063999999999999994
0.78	0.00049199999999999992
0.79	0.000374
0.8	0.00029
0.81	0.000222
0.82000000000000006	0.000174
0.83000000000000007	0.000136
0.84000000000000008	0.000112
0.85000000000000009	9.2E-05
0.86	7.8E-05
0.87	6.8E-05
0.88	5.8E-05
0.89	5.2E-05
0.9	4.6E-05
0.91	4.6E-05
0.92	4.2E-05
0.93	3.9999999999999996E-05
0.94000000000000006	4.6E-05
0.95000000000000007	4.2E-05
0.96000000000000008	3.9999999999999996E-05
0.97000000000000008	3.9999999999999996E-05
0.98000000000000009	3.9999999999999996E-05
0.9900000000000001	3.9999999999999996E-05
1	3.7999999999999995E-05
1.01	3.9999999999999996E-05
1.02	3.7999999999999995E-05
1.03	4.2E-05
1.04	4.2E-05
1.05	3.9999999999999996E-05
1.06	3.9999999999999996E-05
1.07	4.2E-05
1.08	3.9999999999999996E-05
1.09	3.9999999999999996E-05
1.1	3.6E-05
1.11	3.9999999999999996E-05
1.12	3.9999999999999996E-05
1.1300000000000001	4.4E-05
1.1400000000000001	4.2E-05
1.1500000000000001	4.2E-05
1.1600000000000001	4.2E-05
1.1700000000000002	4.4E-05
1.1800000000000002	4.4E-05
1.19	4.6E-05
1.2	3.9999999999999996E-05
