V1_Q_n	V2_Q
0	1.2000819999999999
0.01	1.200076
0.02	1.200078
0.030000000000000002	1.20008
0.04	1.200076
0.05	1.200084
0.060000000000000005	1.200076
0.07	1.20008
0.08	1.20008
0.090000000000000011	1.200078
0.1	1.20008
0.11	1.200078
0.12000000000000001	1.2000819999999999
0.13	1.200084
0.14	1.200084
0.15	1.2000819999999999
0.16	1.20008
0.17	1.20008
0.18000000000000002	1.2000739999999999
0.19	1.20008
0.2	1.20008
0.21000000000000002	1.20008
0.22	1.200078
0.23	1.20008
0.24000000000000002	1.200076
0.25	1.20008
0.26	1.20008
0.27	1.20008
0.28	1.200076
0.29000000000000004	1.20008
0.3	1.200078
0.31	1.200078
0.32	1.200078
0.33	1.20008
0.34	1.20008
0.35000000000000003	1.2000819999999999
0.36000000000000004	1.200084
0.37	1.20008
0.38	1.200078
0.39	1.20008
0.4	1.20008
0.41000000000000003	1.2000819999999999
0.42000000000000004	1.20008
0.43	1.200084
0.44	1.200084
0.45	1.200084
0.46	1.200084
0.47000000000000003	1.200078
0.48000000000000004	1.200076
0.49000000000000005	1.20007
0.5	1.200068
0.51	1.2000659999999999
0.52	1.200064
0.53	1.2000579999999999
0.54	1.20007
0.55	1.2000659999999999
0.56	1.2000499999999998
0.57000000000000006	1.199206
0.58000000000000007	1.198494
0.59000000000000008	1.1981439999999999
0.6	1.1974559999999999
0.61	1.196532
0.62	1.195442
0.63	1.1943759999999999
0.64	1.1920659999999999
0.65	1.1905
0.66	1.1874099999999999
0.67	1.181674
0.68	0.23244399999999998
0.69000000000000006	0.04657
0.70000000000000007	0.039186
0.71000000000000008	0.031922
0.72000000000000008	0.051809999999999995
0.73	0.060714
0.74	0.050156
0.75	0.031686
0.76	0.022784
0.77	0.02043
0.78	0.017259999999999998
0.79	0.014419999999999999
0.8	0.011974
0.81	0.009198
0.82000000000000006	0.007148
0.83000000000000007	0.005946
0.84000000000000008	0.004794
0.85000000000000009	0.003934
0.86	0.003172
0.87	0.002428
0.88	0.001976
0.89	0.001112
0.9	0.0012799999999999999
0.91	0.000972
0.92	0.00072399999999999993
0.93	0.00050599999999999994
0.94000000000000006	0.000518
0.95000000000000007	0.000272
0.96000000000000008	0.00056
0.97000000000000008	0.000212
0.98000000000000009	0.000258
0.9900000000000001	-6E-06
1	8.599999999999999E-05
1.01	8.2E-05
1.02	5.9999999999999995E-05
1.03	-4E-06
1.04	1.6E-05
1.05	1.4E-05
1.06	2.2E-05
1.07	4.9999999999999996E-05
1.08	4.2E-05
1.09	2.9999999999999997E-05
1.1	6.5999999999999992E-05
1.11	2.4E-05
1.12	5.8E-05
1.1300000000000001	-2.2E-05
1.1400000000000001	2.4E-05
1.1500000000000001	3.6E-05
1.1600000000000001	6E-06
1.1700000000000002	8.9999999999999992E-05
1.1800000000000002	0.000104
1.19	1.2E-05
1.2	5.6E-05
