V1_Q_n	V2_Q
0	1.200076
0.01	1.200072
0.02	1.2000739999999999
0.030000000000000002	1.2000739999999999
0.04	1.200076
0.05	1.20008
0.060000000000000005	1.2000739999999999
0.07	1.200076
0.08	1.2000739999999999
0.090000000000000011	1.200078
0.1	1.200076
0.11	1.200076
0.12000000000000001	1.2000739999999999
0.13	1.200072
0.14	1.200068
0.15	1.20007
0.16	1.200064
0.17	1.20006
0.18000000000000002	1.20006
0.19	1.200046
0.2	1.2000439999999999
0.21000000000000002	1.200022
0.22	1.20001
0.23	1.199984
0.24000000000000002	1.1999579999999999
0.25	1.19991
0.26	1.1998579999999999
0.27	1.19979
0.28	1.1996959999999999
0.29000000000000004	1.1995799999999999
0.3	1.199424
0.31	1.199242
0.32	1.198998
0.33	1.198696
0.34	1.1983059999999999
0.35000000000000003	1.197828
0.36000000000000004	1.197234
0.37	1.196496
0.38	1.195592
0.39	1.1944759999999999
0.4	1.193112
0.41000000000000003	1.191446
0.42000000000000004	1.189432
0.43	1.1869399999999999
0.44	1.1839819999999999
0.45	1.18041
0.46	1.1759519999999999
0.47000000000000003	1.1706459999999999
0.48000000000000004	1.16398
0.49000000000000005	1.155708
0.5	1.14541
0.51	1.132016
0.52	1.114342
0.53	1.0893
0.54	1.049536
0.55	0.98098999999999992
0.56	0.842926
0.57000000000000006	0.69742799999999994
0.58000000000000007	0.517792
0.59000000000000008	0.340732
0.6	0.204842
0.61	0.13383799999999999
0.62	0.096162
0.63	0.072668
0.64	0.057052
0.65	0.045862
0.66	0.037158
0.67	0.03023
0.68	0.024791999999999998
0.69000000000000006	0.020322
0.70000000000000007	0.016621999999999998
0.71000000000000008	0.01364
0.72000000000000008	0.011136
0.73	0.00907
0.74	0.007358
0.75	0.005932
0.76	0.004782
0.77	0.003832
0.78	0.0030499999999999998
0.79	0.00242
0.8	0.001908
0.81	0.001498
0.82000000000000006	0.0011719999999999999
0.83000000000000007	0.00091
0.84000000000000008	0.00070599999999999992
0.85000000000000009	0.000548
0.86	0.00041999999999999996
0.87	0.00032399999999999996
0.88	0.000254
0.89	0.000194
0.9	0.000158
0.91	0.000126
0.92	0.000102
0.93	8.2E-05
0.94000000000000006	7.2E-05
0.95000000000000007	6.2E-05
0.96000000000000008	5.6E-05
0.97000000000000008	5.2E-05
0.98000000000000009	4.9999999999999996E-05
0.9900000000000001	4.6E-05
1	4.4E-05
1.01	4.4E-05
1.02	3.9999999999999996E-05
1.03	4.2E-05
1.04	3.9999999999999996E-05
1.05	3.9999999999999996E-05
1.06	4.2E-05
1.07	4.2E-05
1.08	4.2E-05
1.09	4.2E-05
1.1	4.2E-05
1.11	3.9999999999999996E-05
1.12	4.2E-05
1.1300000000000001	4.2E-05
1.1400000000000001	3.9999999999999996E-05
1.1500000000000001	3.9999999999999996E-05
1.1600000000000001	3.9999999999999996E-05
1.1700000000000002	3.9999999999999996E-05
1.1800000000000002	3.9999999999999996E-05
1.19	3.9999999999999996E-05
1.2	4.4E-05
