V1_Q_n	V2_Q
0	1.200076
0.01	1.2000739999999999
0.02	1.200076
0.030000000000000002	1.2000739999999999
0.04	1.200076
0.05	1.200078
0.060000000000000005	1.2000739999999999
0.07	1.200076
0.08	1.2000739999999999
0.090000000000000011	1.200076
0.1	1.200078
0.11	1.2000739999999999
0.12000000000000001	1.2000739999999999
0.13	1.200076
0.14	1.200078
0.15	1.200076
0.16	1.200078
0.17	1.20008
0.18000000000000002	1.200078
0.19	1.200076
0.2	1.200072
0.21000000000000002	1.20007
0.22	1.2000659999999999
0.23	1.2000659999999999
0.24000000000000002	1.200064
0.25	1.200056
0.26	1.200046
0.27	1.200034
0.28	1.200018
0.29000000000000004	1.199998
0.3	1.199972
0.31	1.199932
0.32	1.199886
0.33	1.199816
0.34	1.199724
0.35000000000000003	1.199608
0.36000000000000004	1.1994479999999999
0.37	1.199254
0.38	1.198984
0.39	1.198648
0.4	1.198172
0.41000000000000003	1.1976099999999998
0.42000000000000004	1.196874
0.43	1.19597
0.44	1.19481
0.45	1.193304
0.46	1.191344
0.47000000000000003	1.188936
0.48000000000000004	1.185574
0.49000000000000005	1.182122
0.5	1.1769939999999999
0.51	1.17073
0.52	1.162918
0.53	1.151894
0.54	1.13713
0.55	1.115484
0.56	1.079774
0.57000000000000006	1.008928
0.58000000000000007	0.779986
0.59000000000000008	0.62236799999999992
0.6	0.39211599999999996
0.61	0.24040599999999998
0.62	0.15155
0.63	0.104248
0.64	0.076514
0.65	0.058086
0.66	0.04509
0.67	0.035368
0.68	0.028036
0.69000000000000006	0.0223
0.70000000000000007	0.017825999999999998
0.71000000000000008	0.014294
0.72000000000000008	0.011368
0.73	0.009042
0.74	0.007182
0.75	0.005654
0.76	0.004476
0.77	0.003508
0.78	0.00274
0.79	0.0021219999999999998
0.8	0.00164
0.81	0.001258
0.82000000000000006	0.000966
0.83000000000000007	0.000734
0.84000000000000008	0.00056
0.85000000000000009	0.000426
0.86	0.00032399999999999996
0.87	0.000244
0.88	0.000188
0.89	0.000146
0.9	0.00011399999999999999
0.91	8.9999999999999992E-05
0.92	7.2E-05
0.93	5.9999999999999995E-05
0.94000000000000006	4.9999999999999996E-05
0.95000000000000007	4.4E-05
0.96000000000000008	3.7999999999999995E-05
0.97000000000000008	3.4E-05
0.98000000000000009	3.2E-05
0.9900000000000001	2.9999999999999997E-05
1	2.9999999999999997E-05
1.01	2.6E-05
1.02	2.6E-05
1.03	2.8E-05
1.04	2.6E-05
1.05	2.9999999999999997E-05
1.06	2.9999999999999997E-05
1.07	2.9999999999999997E-05
1.08	2.9999999999999997E-05
1.09	2.9999999999999997E-05
1.1	3.2E-05
1.11	3.2E-05
1.12	3.4E-05
1.1300000000000001	3.6E-05
1.1400000000000001	3.6E-05
1.1500000000000001	3.7999999999999995E-05
1.1600000000000001	3.6E-05
1.1700000000000002	3.6E-05
1.1800000000000002	3.7999999999999995E-05
1.19	3.9999999999999996E-05
1.2	3.6E-05
