V2_Q	V1_Q_n
0	1.200018
0.01	1.200018
0.02	1.200014
0.030000000000000002	1.2000199999999999
0.04	1.2000199999999999
0.05	1.200018
0.060000000000000005	1.200018
0.07	1.200014
0.08	1.200014
0.090000000000000011	1.200018
0.1	1.2000119999999999
0.11	1.20001
0.12000000000000001	1.20001
0.13	1.2000119999999999
0.14	1.200008
0.15	1.2
0.16	1.199992
0.17	1.19999
0.18000000000000002	1.199976
0.19	1.199968
0.2	1.1999499999999999
0.21000000000000002	1.199924
0.22	1.1998959999999999
0.23	1.199852
0.24000000000000002	1.199798
0.25	1.199716
0.26	1.19962
0.27	1.199484
0.28	1.199304
0.29000000000000004	1.199046
0.3	1.19872
0.31	1.198308
0.32	1.197768
0.33	1.197082
0.34	1.196224
0.35000000000000003	1.195088
0.36000000000000004	1.193724
0.37	1.19203
0.38	1.189952
0.39	1.187276
0.4	1.184374
0.41000000000000003	1.180644
0.42000000000000004	1.176332
0.43	1.170534
0.44	1.163668
0.45	1.1554499999999999
0.46	1.144904
0.47000000000000003	1.130986
0.48000000000000004	1.112094
0.49000000000000005	1.082082
0.5	1.031736
0.51	0.862406
0.52	0.67604199999999992
0.53	0.45771199999999995
0.54	0.284668
0.55	0.176566
0.56	0.12054799999999999
0.57000000000000006	0.089696
0.58000000000000007	0.069312
0.59000000000000008	0.05491
0.6	0.044058
0.61	0.035664
0.62	0.028957999999999998
0.63	0.0236
0.64	0.019202
0.65	0.0156
0.66	0.012669999999999999
0.67	0.01027
0.68	0.008306
0.69000000000000006	0.006686
0.70000000000000007	0.005338
0.71000000000000008	0.004236
0.72000000000000008	0.0033499999999999997
0.73	0.002634
0.74	0.002052
0.75	0.001584
0.76	0.001214
0.77	0.000936
0.78	0.000704
0.79	0.00052399999999999994
0.8	0.000388
0.81	0.00028399999999999996
0.82000000000000006	0.000204
0.83000000000000007	0.00014
0.84000000000000008	9.9999999999999991E-05
0.85000000000000009	6.5999999999999992E-05
0.86	3.9999999999999996E-05
0.87	2.2E-05
0.88	1.2E-05
0.89	0
0.9	-6E-06
0.91	-1.4E-05
0.92	-1.4E-05
0.93	-1.6E-05
0.94000000000000006	-1.8E-05
0.95000000000000007	-1.9999999999999998E-05
0.96000000000000008	-1.8E-05
0.97000000000000008	-1.8E-05
0.98000000000000009	-1.8E-05
0.9900000000000001	-1.9999999999999998E-05
1	-1.8E-05
1.01	-1.6E-05
1.02	-1.4E-05
1.03	-1.2E-05
1.04	-1.8E-05
1.05	-1.6E-05
1.06	-1.6E-05
1.07	-1.2E-05
1.08	-1.8E-05
1.09	-1.6E-05
1.1	-1.4E-05
1.11	-1.4E-05
1.12	-1.2E-05
1.1300000000000001	-1.2E-05
1.1400000000000001	-1.4E-05
1.1500000000000001	-1.2E-05
1.1600000000000001	-9.9999999999999991E-06
1.1700000000000002	-1.2E-05
1.1800000000000002	-9.9999999999999991E-06
1.19	-9.9999999999999991E-06
1.2	-1.2E-05
