V1_Q_n	V2_Q
0	1.200076
0.01	1.200076
0.02	1.200076
0.030000000000000002	1.200076
0.04	1.2000819999999999
0.05	1.200078
0.060000000000000005	1.200076
0.07	1.2000819999999999
0.08	1.200076
0.090000000000000011	1.200076
0.1	1.200076
0.11	1.200076
0.12000000000000001	1.2000739999999999
0.13	1.200078
0.14	1.200072
0.15	1.20007
0.16	1.20007
0.17	1.200076
0.18000000000000002	1.200068
0.19	1.200064
0.2	1.2000659999999999
0.21000000000000002	1.2000579999999999
0.22	1.200056
0.23	1.2000499999999998
0.24000000000000002	1.2000439999999999
0.25	1.200026
0.26	1.200014
0.27	1.199986
0.28	1.199954
0.29000000000000004	1.1999119999999999
0.3	1.199856
0.31	1.1997799999999999
0.32	1.199678
0.33	1.199538
0.34	1.199368
0.35000000000000003	1.1991319999999999
0.36000000000000004	1.198832
0.37	1.1984599999999999
0.38	1.1979959999999998
0.39	1.197378
0.4	1.196588
0.41000000000000003	1.195546
0.42000000000000004	1.194208
0.43	1.19242
0.44	1.1900899999999999
0.45	1.187014
0.46	1.182996
0.47000000000000003	1.17766
0.48000000000000004	1.170614
0.49000000000000005	1.160998
0.5	1.147492
0.51	1.127058
0.52	1.091194
0.53	0.852266
0.54	0.660592
0.55	0.41531799999999996
0.56	0.24117
0.57000000000000006	0.134508
0.58000000000000007	0.09132
0.59000000000000008	0.067298
0.6	0.051292
0.61	0.039422
0.62	0.032184
0.63	0.024808
0.64	0.020125999999999998
0.65	0.01613
0.66	0.013125999999999999
0.67	0.01052
0.68	0.00844
0.69000000000000006	0.0067459999999999994
0.70000000000000007	0.005372
0.71000000000000008	0.004256
0.72000000000000008	0.0033439999999999998
0.73	0.0026219999999999998
0.74	0.0020499999999999997
0.75	0.001602
0.76	0.0012339999999999999
0.77	0.00094
0.78	0.000708
0.79	0.000534
0.8	0.000396
0.81	0.000294
0.82000000000000006	0.00021799999999999999
0.83000000000000007	0.000156
0.84000000000000008	0.000118
0.85000000000000009	8.599999999999999E-05
0.86	5.9999999999999995E-05
0.87	4.6E-05
0.88	3.6E-05
0.89	2.8E-05
0.9	1.9999999999999998E-05
0.91	1.9999999999999998E-05
0.92	1.8E-05
0.93	1.4E-05
0.94000000000000006	1.4E-05
0.95000000000000007	1.6E-05
0.96000000000000008	1.4E-05
0.97000000000000008	1.4E-05
0.98000000000000009	1.8E-05
0.9900000000000001	1.8E-05
1	1.8E-05
1.01	1.8E-05
1.02	2.2E-05
1.03	2.2E-05
1.04	1.8E-05
1.05	2.6E-05
1.06	2.4E-05
1.07	2.4E-05
1.08	2.4E-05
1.09	2.4E-05
1.1	2.8E-05
1.11	2.6E-05
1.12	2.6E-05
1.1300000000000001	2.9999999999999997E-05
1.1400000000000001	2.9999999999999997E-05
1.1500000000000001	2.9999999999999997E-05
1.1600000000000001	2.9999999999999997E-05
1.1700000000000002	3.2E-05
1.1800000000000002	3.2E-05
1.19	3.2E-05
1.2	3.4E-05
