structure,die_x,die_y,measurement_id,mode,snm_mv,snm_left_mv,snm_right_mv,limiting_lobe,status,individual_png
SP00,2,3,30,hold,467.90390198060885,467.90390198060885,475.4550758543106,left,ok,
SP00,2,4,31,hold,522.1813694892757,522.1813694892757,526.5348671381785,left,ok,
SP00,2,4,31,read,179.68292605989672,179.68292605989672,222.60113764482736,left,ok,
SP00,2,5,64,hold,454.7191461351992,491.51208656233166,454.7191461351992,right,ok,
SP00,2,5,64,read,163.99370102526348,252.2920833597123,163.99370102526348,right,ok,
SP00,3,3,29,hold,464.5620979560547,464.5620979560547,483.1102895725431,left,ok,
SP00,3,3,29,read,150.3707299132473,150.3707299132473,283.62342369077555,left,ok,
SP00,3,4,32,hold,471.8123246578498,483.96578677171084,471.8123246578498,right,ok,
SP00,3,4,32,read,211.3380997750745,215.68473075417862,211.3380997750745,right,ok,
SP00,3,5,63,hold,266.48030579877127,266.48030579877127,608.6137862953075,left,ok,
SP00,3,5,63,read,174.24644432620605,174.24644432620605,296.92607299699347,left,ok,
SP00,4,2,1,hold,466.1528512125343,466.1528512125343,493.28970871345064,left,ok,
SP00,4,2,1,read,197.04364913188914,197.04364913188914,225.1428132897705,left,ok,
SP00,4,3,28,hold,357.5769973129404,583.5812737670842,357.5769973129404,right,ok,
SP00,4,3,28,read,179.74181104973647,179.74181104973647,233.3415415277334,left,ok,
SP00,4,4,33,hold,318.7559243483268,619.3313539325807,318.7559243483268,right,ok,
SP00,4,4,33,read,49.715355432331314,49.715355432331314,368.29261661791605,left,ok,
SP00,4,5,62,hold,440.86902445137736,440.86902445137736,584.668824197229,left,ok,
SP00,4,5,62,read,151.64394531180784,151.64394531180784,216.73879363571766,left,ok,
SP00,4,6,65,hold,459.3519340609513,459.3519340609513,495.986596753089,left,ok,
SP00,4,6,65,read,181.89972374847974,181.89972374847974,199.58178249791828,left,ok,
SP00,5,2,2,hold,464.57756717962684,505.86683707364523,464.57756717962684,right,ok,
SP00,5,2,2,read,194.04094986394264,214.5625112593759,194.04094986394264,right,ok,
SP00,5,3,27,hold,480.63750967420094,487.61909907228005,480.63750967420094,right,ok,
SP00,5,3,27,read,192.54575463014845,228.24020391478666,192.54575463014845,right,ok,
SP00,5,4,34,hold,322.1912660064862,483.04993901649175,322.1912660064862,right,ok,
SP00,5,4,34,read,206.30672222585807,230.76569632273225,206.30672222585807,right,ok,
SP00,5,5,61,hold,488.5211973932616,488.5211973932616,550.2277983705321,left,ok,
SP00,5,5,61,read,157.9273415345557,157.9273415345557,368.76236917436216,left,ok,
SP00,5,6,66,hold,473.77970027231464,475.250352369448,473.77970027231464,right,ok,
SP00,5,6,66,read,197.10517226123744,197.10517226123744,221.62863789779482,left,ok,
SP00,6,2,3,hold,481.9943606723724,481.9943606723724,547.1528278162582,left,ok,
SP00,6,3,26,hold,482.43221239571363,482.43221239571363,544.4431786412559,left,ok,
SP00,6,3,26,read,222.64676345562853,222.64676345562853,241.2438406056485,left,ok,
SP00,6,4,35,hold,502.26754195450684,560.4638329478659,502.26754195450684,right,ok,
SP00,6,4,35,read,167.45540108374024,190.9963565370777,167.45540108374024,right,ok,
SP00,6,5,60,hold,476.0631804336504,476.0631804336504,486.4018411902539,left,ok,
SP00,6,5,60,read,143.28046380268833,143.28046380268833,219.31788682517302,left,ok,
SP00,6,6,67,hold,468.31799983365795,468.31799983365795,491.2167547990665,left,ok,
SP00,6,6,67,read,184.09156546634077,184.09156546634077,229.60912313445849,left,ok,
SP00,7,2,4,hold,287.6435340851023,287.6435340851023,357.38737425153573,left,ok,
SP00,7,3,25,hold,356.05859265308624,356.05859265308624,360.6499325243086,left,ok,
SP00,7,3,25,read,30.55835323008104,30.55835323008104,354.2420811643181,left,ok,
SP00,7,4,36,hold,490.5412782641938,528.7557549772863,490.5412782641938,right,ok,
SP00,7,4,36,read,86.35879349545147,340.5450159282849,86.35879349545147,right,ok,
SP00,7,5,59,hold,482.3848290875126,482.3848290875126,556.146041439393,left,ok,
SP00,7,5,59,read,190.7745062491063,190.7745062491063,217.93085919916606,left,ok,
SP00,7,6,68,hold,473.64209022080524,473.64209022080524,483.2726284460732,left,ok,
SP00,7,6,68,read,193.52665955471863,193.52665955471863,214.2835875363523,left,ok,
SP00,7,7,84,hold,415.0429272102563,415.0429272102563,580.4539034541331,left,ok,
SP00,7,7,84,read,211.24116632453357,211.24116632453357,214.72641876325034,left,ok,
SP00,8,2,5,hold,483.25308957977796,483.25308957977796,545.9830819777657,left,ok,
SP00,8,2,5,read,5.350691816719139,5.350691816719139,208.0682646262872,left,ok,
SP00,8,3,24,hold,469.6646466330677,469.6646466330677,561.4225423763603,left,ok,
SP00,8,3,24,read,191.28180582530712,191.28180582530712,209.96982198709253,left,ok,
SP00,8,4,37,hold,452.8352953470153,452.8352953470153,503.93745261659564,left,ok,
SP00,8,4,37,read,182.25589486567267,182.25589486567267,237.04734902374904,left,ok,
SP00,8,5,58,hold,339.6624988118398,339.6624988118398,571.8168264182148,left,ok,
SP00,8,5,58,read,205.36781432311847,205.36781432311847,223.89708223556096,left,ok,
SP00,8,6,69,hold,471.0300313234881,471.0300313234881,494.5473121363021,left,ok,
SP00,8,7,83,hold,459.50994598630945,486.76231214256075,459.50994598630945,right,ok,
SP00,8,7,83,read,184.6811501883767,220.7614122664858,184.6811501883767,right,ok,
SP00,9,2,6,hold,481.1311072075999,492.44626350896516,481.1311072075999,right,ok,
SP00,9,2,6,read,185.53331686614396,205.7181646638901,185.53331686614396,right,ok,
SP00,9,3,23,hold,438.67016014095145,438.67016014095145,572.1789401545192,left,ok,
SP00,9,3,23,read,207.77378543821354,217.5250135557252,207.77378543821354,right,ok,
SP00,9,4,38,hold,309.0725982866421,615.6710006539067,309.0725982866421,right,ok,
SP00,9,4,38,read,3.5728847336673755,3.5728847336673755,181.3873488802425,left,ok,
SP00,9,5,57,hold,403.4877773230091,403.4877773230091,610.5659199555151,left,ok,
SP00,9,5,57,read,208.66319316865295,208.66319316865295,247.56088834543596,left,ok,
SP00,9,6,70,hold,289.7152691624997,289.7152691624997,595.363792825896,left,ok,
SP00,9,6,70,read,103.67304169154627,103.67304169154627,237.33713237566243,left,ok,
SP00,9,7,82,hold,457.63303760815216,457.63303760815216,502.69794287823623,left,ok,
SP00,9,7,82,read,176.44993167852036,176.44993167852036,277.72919608385274,left,ok,
SP00,10,2,7,hold,337.75419407147496,443.50680725792125,337.75419407147496,right,ok,
SP00,10,3,22,hold,340.06946647823526,340.06946647823526,522.514954680281,left,ok,
SP00,10,3,22,read,27.088765391682077,27.088765391682077,221.07233237109025,left,ok,
SP00,10,5,56,hold,466.7759443629297,466.7759443629297,549.8970356676614,left,ok,
SP00,10,5,56,read,122.75130290999384,122.75130290999384,360.29949771674734,left,ok,
SP00,10,6,71,hold,309.8826525907061,309.8826525907061,593.1249809895926,left,ok,
SP00,10,6,71,read,202.48218902621855,217.93800239206053,202.48218902621855,right,ok,
SP00,10,7,81,hold,456.9620613002532,477.6816281845599,456.9620613002532,right,ok,
SP00,10,7,81,read,42.63716578986165,42.63716578986165,205.39292421648202,left,ok,
SP00,11,2,8,hold,306.63174661758114,322.5558192351832,306.63174661758114,right,ok,
SP00,11,2,8,read,11.51217690427912,11.51217690427912,79.17265578652824,left,ok,
SP00,11,3,21,hold,492.2057301458493,492.2057301458493,495.72163771597127,left,ok,
SP00,11,3,21,read,210.50397793275638,251.51862786802576,210.50397793275638,right,ok,
SP00,11,4,40,hold,254.49903478460206,254.49903478460206,585.3676950048605,left,ok,
SP00,11,4,40,read,79.08898858812675,223.7163134056624,79.08898858812675,right,ok,
SP00,11,5,55,hold,385.48155284753767,385.48155284753767,626.5972864048522,left,ok,
SP00,11,5,55,read,162.78941627377046,162.78941627377046,237.27829201574173,left,ok,
SP00,11,6,72,hold,338.81397716433963,338.81397716433963,588.4736021653907,left,ok,
SP00,11,6,72,read,183.42016433781825,224.80368739088655,183.42016433781825,right,ok,
SP00,11,7,80,hold,462.49426887740015,489.90958457164544,462.49426887740015,right,ok,
SP00,11,7,80,read,196.7855209395639,214.6681250987814,196.7855209395639,right,ok,
SP00,12,2,9,hold,324.2405672265882,324.2405672265882,577.2593817954478,left,ok,
SP00,12,2,9,read,13.748752048665633,13.748752048665633,379.27934735484826,left,ok,
SP00,12,3,20,hold,474.0850591340494,474.0850591340494,519.3110599522676,left,ok,
SP00,12,3,20,read,198.07385341947514,198.07385341947514,274.3647549210973,left,ok,
