V2_Q	V1_Q_n
0	1.2000279999999999
0.012	1.20003
0.024	1.2000279999999999
0.036000000000000004	1.200026
0.048	1.2000279999999999
0.060000000000000005	1.2000279999999999
0.072000000000000008	1.200026
0.084	1.2000279999999999
0.096	1.20003
0.108	1.200026
0.12000000000000001	1.200032
0.132	1.2000279999999999
0.14400000000000002	1.20003
0.156	1.2000279999999999
0.168	1.200026
0.18000000000000002	1.200026
0.192	1.200026
0.20400000000000002	1.200024
0.216	1.200024
0.228	1.200018
0.24000000000000002	1.200006
0.252	1.199994
0.264	1.199978
0.276	1.19996
0.28800000000000003	1.1999279999999999
0.3	1.1998879999999998
0.312	1.19983
0.324	1.199748
0.336	1.1996259999999999
0.34800000000000003	1.1994639999999999
0.36000000000000004	1.199244
0.372	1.19894
0.384	1.19852
0.396	1.197948
0.40800000000000003	1.197176
0.42000000000000004	1.1961279999999999
0.432	1.194704
0.444	1.19278
0.456	1.190172
0.468	1.186704
0.48000000000000004	1.18223
0.49200000000000005	1.176118
0.504	1.167412
0.516	1.155826
0.528	1.138868
0.54	1.112778
0.552	1.064654
0.56400000000000006	0.829654
0.57600000000000007	0.677168
0.58800000000000008	0.47604799999999997
0.6	0.298946
0.612	0.17826999999999998
0.624	0.11279199999999999
0.636	0.080054
0.648	0.058483999999999994
0.66	0.044983999999999996
0.672	0.035457999999999996
0.684	0.028436
0.69600000000000006	0.023038
0.70800000000000007	0.018958
0.72000000000000008	0.016732
0.732	0.015505999999999999
0.744	0.012176
0.756	0.010112
0.768	0.008654
0.78	0.007998
0.792	0.00773
0.804	0.008124
0.81600000000000006	0.0068039999999999993
0.82800000000000007	0.005704
0.84000000000000008	0.005228
0.85200000000000009	0.005036
0.864	0.0046879999999999995
0.876	0.004082
0.888	0.00397
0.9	0.00377
0.912	0.003338
0.924	0.003286
0.936	0.0036959999999999996
0.94800000000000006	0.003652
0.96000000000000008	0.003356
0.97200000000000009	0.003224
0.9840000000000001	0.00316
0.996	0.003104
1.008	0.002976
1.02	0.002956
1.032	0.002878
1.044	0.002848
1.056	0.002796
1.068	0.002722
1.08	0.002696
1.092	0.00258
1.104	0.00266
1.116	0.0026739999999999997
1.1280000000000001	0.0025399999999999997
1.1400000000000001	0.002526
1.1520000000000001	0.002548
1.1640000000000002	0.002568
1.1760000000000002	0.002558
1.1880000000000002	0.002492
1.2	0.0024519999999999998
