V2_Q	V1_Q_n
0	1.200024
0.012	1.200024
0.024	1.200026
0.036000000000000004	1.200024
0.048	1.200026
0.060000000000000005	1.200026
0.072000000000000008	1.200026
0.084	1.2000279999999999
0.096	1.200026
0.108	1.2000279999999999
0.12000000000000001	1.2000279999999999
0.132	1.200024
0.14400000000000002	1.200026
0.156	1.20003
0.168	1.200026
0.18000000000000002	1.200022
0.192	1.2000199999999999
0.20400000000000002	1.200016
0.216	1.2000119999999999
0.228	1.200002
0.24000000000000002	1.19999
0.252	1.199976
0.264	1.199956
0.276	1.1999199999999999
0.28800000000000003	1.19987
0.3	1.199792
0.312	1.1996879999999999
0.324	1.199544
0.336	1.1993399999999999
0.34800000000000003	1.199056
0.36000000000000004	1.198662
0.372	1.198122
0.384	1.1973939999999999
0.396	1.196418
0.40800000000000003	1.1951319999999999
0.42000000000000004	1.1934259999999999
0.432	1.1912
0.444	1.18834
0.456	1.184578
0.468	1.179732
0.48000000000000004	1.17347
0.49200000000000005	1.1652559999999999
0.504	1.154394
0.516	1.140152
0.528	1.119388
0.54	1.086832
0.552	1.006476
0.56400000000000006	0.880954
0.57600000000000007	0.79419
0.58800000000000008	0.63647
0.6	0.595768
0.612	0.567956
0.624	0.54579199999999994
0.636	0.527206
0.648	0.510358
0.66	0.49530599999999997
0.672	0.481232
0.684	0.46835
0.69600000000000006	0.455796
0.70800000000000007	0.44422399999999995
0.72000000000000008	0.43296599999999996
0.732	0.42213
0.744	0.41173
0.756	0.40160999999999997
0.768	0.391876
0.78	0.382542
0.792	0.37322
0.804	0.364234
0.81600000000000006	0.355738
0.82800000000000007	0.34738399999999997
0.84000000000000008	0.339262
0.85200000000000009	0.331364
0.864	0.32378399999999996
0.876	0.31625
0.888	0.30913999999999997
0.9	0.302216
0.912	0.29548599999999997
0.924	0.289196
0.936	0.283038
0.94800000000000006	0.27699399999999996
0.96000000000000008	0.271356
0.97200000000000009	0.26594
0.9840000000000001	0.26068199999999997
0.996	0.255784
1.008	0.250958
1.02	0.24637799999999999
1.032	0.242032
1.044	0.237872
1.056	0.233902
1.068	0.2301
1.08	0.226452
1.092	0.222966
1.104	0.21964
1.116	0.21645799999999998
1.1280000000000001	0.21340399999999998
1.1400000000000001	0.21051199999999998
1.1520000000000001	0.207704
1.1640000000000002	0.205064
1.1760000000000002	0.202462
1.1880000000000002	0.200014
1.2	0.19763
